STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/8/2019,,85,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/10/2019,,77,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/14/2019,,84,90,65
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/21/2019,0.04,62,,58
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/24/2019,,80,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/22/2019,,75,81,60
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/1/2019,,80,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/5/2019,,76,,62
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/8/2019,,66,82,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/14/2019,,73,,57
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/22/2019,,72,81,60
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/23/2019,0.31,70,78,64
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/31/2019,,74,,56
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/1/2019,,76,,56
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/3/2019,,70,,62
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/6/2019,,71,85,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/8/2019,,74,83,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/10/2019,,76,,58
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/16/2019,0.71,72,84,63
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/28/2019,,67,76,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,5/4/2019,,77,85,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,5/5/2019,,64,80,54
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/1/2019,,60,72,38
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/5/2019,,56,,36
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,7/4/2019,,60,74,40
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,7/22/2019,,54,70,35
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,8/12/2019,,67,,46
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,8/13/2019,,73,,49
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/13/2019,,77,,54
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,10/9/2019,,86,,65
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,11/25/2019,0.04,82,,67
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/13/2020,,75,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/16/2020,0.04,70,76,66
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/27/2020,,83,93,63
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/15/2020,,69,85,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/4/2020,0.12,71,,60
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/15/2020,,78,,62
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/16/2020,,72,83,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/27/2020,,72,78,65
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/19/2020,0.08,53,,51
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/2/2020,,59,67,55
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/9/2021,,72,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,3/16/2021,,72,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,4/20/2021,,66,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/9/2021,,54,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/11/2021,,47,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/14/2021,,63,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/23/2021,,65,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,6/30/2021,,78,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,8/2/2021,,60,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,8/15/2021,,59,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/8/2021,,69,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/9/2021,,65,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/11/2021,,66,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/12/2021,,64,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/13/2021,,76,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/18/2021,,59,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/19/2021,,63,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/21/2021,,83,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,9/27/2021,,74,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,10/3/2021,,77,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,10/18/2021,,60,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,10/19/2021,,54,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,10/28/2021,,67,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,11/2/2021,,84,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,11/12/2021,,79,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,11/17/2021,,87,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,11/18/2021,,85,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,12/8/2021,,82,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,12/14/2021,,68,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,12/21/2021,,69,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/2/2022,,75,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/4/2022,,75,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/5/2022,,74,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/6/2022,,71,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,1/10/2022,,77,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/6/2022,,67,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/7/2022,,71,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/8/2022,,76,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/9/2022,,79,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/10/2022,,74,,
ZI000067975,"MASVINGO, ZI",-20.067,30.867,1095,2/13/2022,,74,,
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132,5/5/2019,,65,74,56
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132,3/7/2020,0.04,65,73,58
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132,3/28/2020,0.39,65,70,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/1/2019,,75,84,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/2/2019,,76,85,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/3/2019,,68,79,63
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/4/2019,0.94,70,,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/5/2019,0,69,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/6/2019,,72,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/7/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/8/2019,,71,83,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/9/2019,0.59,70,83,63
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/10/2019,0,70,78,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/11/2019,,71,79,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/12/2019,0.12,74,,65
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/13/2019,0,75,81,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/14/2019,0.28,71,80,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/15/2019,0,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/17/2019,,70,83,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/18/2019,,67,83,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/19/2019,,78,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/20/2019,,68,75,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/21/2019,0,61,,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/22/2019,0,62,,59
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/23/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/24/2019,,74,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/26/2019,,77,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/27/2019,,72,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,1/28/2019,0,66,,61
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/3/2019,,74,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/4/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/5/2019,,64,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/8/2019,,69,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/13/2019,,75,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/16/2019,,73,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/17/2019,,68,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/18/2019,,66,,60
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/19/2019,,67,75,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/20/2019,,65,,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/21/2019,,73,82,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/22/2019,,66,80,55
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/23/2019,,71,81,55
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/24/2019,,76,85,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/25/2019,,72,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/26/2019,,70,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/27/2019,,71,,59
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,2/28/2019,,78,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/1/2019,,80,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/2/2019,,70,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/3/2019,,75,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/4/2019,,76,86,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/5/2019,,73,,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/6/2019,,71,78,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/7/2019,,70,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/8/2019,,69,83,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/9/2019,,70,85,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/10/2019,,77,85,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/11/2019,,72,,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/12/2019,,72,,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/13/2019,,68,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/14/2019,,70,,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/15/2019,,65,,63
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/16/2019,,65,66,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/17/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/18/2019,,69,,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/19/2019,,71,,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/20/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/21/2019,,78,83,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/22/2019,,70,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/23/2019,,68,79,60
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/24/2019,,67,,60
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/25/2019,,71,,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/26/2019,,79,86,60
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/27/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/28/2019,,77,82,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/29/2019,,68,81,55
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/30/2019,,73,81,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,3/31/2019,,66,,55
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/1/2019,,73,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/2/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/3/2019,,65,,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/4/2019,,68,,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/5/2019,,66,,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/6/2019,,69,84,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/7/2019,,71,82,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/8/2019,,73,84,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/9/2019,,67,81,61
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/10/2019,,72,,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/12/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/13/2019,,63,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/14/2019,,67,78,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/15/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/16/2019,,71,83,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/17/2019,0,68,81,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/18/2019,0,65,71,61
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/19/2019,,68,81,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/20/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/21/2019,,66,,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/22/2019,,68,,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/23/2019,,69,81,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/24/2019,,68,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/25/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/26/2019,,72,83,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/27/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/28/2019,,68,77,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/29/2019,,64,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/30/2019,,62,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/1/2019,,69,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/2/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/3/2019,,63,76,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/4/2019,,68,81,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/5/2019,,67,82,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/6/2019,,73,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/7/2019,,74,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/8/2019,,63,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/9/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/10/2019,,65,79,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/11/2019,,65,,49
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/12/2019,,62,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/13/2019,,63,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/15/2019,,63,,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/16/2019,,62,78,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/17/2019,,61,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/18/2019,,65,,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/19/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/20/2019,,63,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/21/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/22/2019,,62,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/23/2019,,59,74,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/24/2019,,61,,49
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/25/2019,0,60,,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/26/2019,,60,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/27/2019,,62,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/28/2019,,57,,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/29/2019,,61,,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/30/2019,,60,,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/31/2019,,59,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/1/2019,,60,71,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/2/2019,,60,69,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/3/2019,,58,67,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/4/2019,,59,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/5/2019,,58,,46
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/7/2019,,54,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/8/2019,,66,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/9/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/10/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/11/2019,,57,72,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/12/2019,,58,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/13/2019,,59,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/14/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/15/2019,,60,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/16/2019,,57,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/17/2019,,57,,42
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/18/2019,,60,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/21/2019,,62,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/22/2019,,59,72,43
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/23/2019,,60,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/24/2019,,60,74,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/25/2019,,60,67,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/26/2019,,63,,52
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/27/2019,,56,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/28/2019,,56,69,43
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/29/2019,,52,69,38
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/30/2019,,59,,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/2/2019,,67,76,45
